"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
54.840370;36.650219;"Договор 11, 2010 г.";"11";1
55.011022;36.471035;"Договор 12, 2010 г.";"12";2
55.011275;36.470657;"Договор 13, 2010 г.";"13";3
54.810923;36.312442;"Договор 14, 2010 г.";"14";4
55.011183;36.470887;"Договор 15, 2010 г.";"15";5
54.872287;36.381562;"Договор 1075, 2010 г.";"1075";6
55.011163;36.470833;"Договор 17, 2010 г.";"17";7
55.009651;36.469461;"Договор 18, 2010 г.";"18";8
55.012377;36.465681;"Договор 19, 2010 г.";"19";9
55.052133;36.561528;"Договор 20, 2010 г.";"20";10
55.000874;36.457709;"Договор 21, 2010 г.";"21";11
55.010063;36.474765;"Договор 22, 2010 г.";"22";12
55.009992;36.474752;"Договор 49, 2010 г.";"49";13
55.011066;36.470672;"Договор 23, 2010 г.";"23";14
55.011096;36.471040;"Договор 804, 2013 г.";"804";15
55.010927;36.451136;"Договор 24, 2010 г.";"24";16
55.010900;36.451218;"Договор 582, 2012 г.";"582";17
54.999929;36.438660;"Договор 25, 2010 г.";"25";18
55.000206;36.458320;"Договор 26, 2010 г.";"26";19
55.000068;36.458738;"Договор 106, 2011 г.";"106";20
55.000079;36.458741;"Договор 111, 2011 г.";"111";21
55.000202;36.458538;"Договор 121, 2011 г.";"121";22
55.000174;36.458418;"Договор 131, 2011 г.";"131";23
55.000183;36.458566;"Договор 482, 2012 г.";"482";24
54.999986;36.458597;"Договор 768, 2013 г.";"768";25
54.999996;36.458387;"Договор 824, 2013 г.";"824";26
55.011088;36.470925;"Договор 27, 2010 г.";"27";27
55.011278;36.470820;"Договор 325, 2011 г.";"325";28
55.008860;36.438069;"Договор 28, 2010 г.";"28";29
55.011058;36.451358;"Договор 29, 2010 г.";"29";30
54.999566;36.451904;"Договор 30, 2010 г.";"30";31
55.011055;36.470781;"Договор 31, 2010 г.";"31";32
55.011260;36.470993;"Договор 229, 2011 г.";"229";33
55.011097;36.471036;"Договор 720, 2013 г.";"720";34
55.011312;36.471011;"Договор 895, 2013 г.";"895";35
55.053667;36.410280;"Договор 32, 2010 г.";"32";36
55.011253;36.470699;"Договор 33, 2010 г.";"33";37
55.011243;36.470752;"Договор 576, 2012 г.";"576";38
55.011246;36.470653;"Договор 2730, 2018 г.";"2730";39
55.011244;36.470951;"Договор 2842, 2019 г.";"2842";40
55.011312;36.470936;"Договор 2349";"2349";41
55.011235;36.470658;"Договор 2350";"2350";42
54.800355;36.293830;"Договор 34, 2010 г.";"34";43
55.010747;36.459434;"Договор 35, 2010 г.";"35";44
55.012006;36.492578;"Договор 37, 2010 г.";"37";45
55.012051;36.492364;"Договор 438, 2012 г.";"438";46
55.002975;36.431141;"Договор 38, 2010 г.";"38";47
55.002910;36.487243;"Договор 39, 2010 г.";"39";48
55.009877;36.469239;"Договор 40, 2010 г.";"40";49
55.011197;36.470801;"Договор 41, 2010 г.";"41";50
55.015272;36.479429;"Договор 42, 2010 г.";"42";51
55.011177;36.471013;"Договор 43, 2010 г.";"43";52
54.989721;36.251253;"Договор 44, 2010 г.";"44";53
54.989792;36.251499;"Договор 454, 2012 г.";"454";54
54.987706;36.250008;"Договор 45, 2010 г.";"45";55
54.912336;36.375431;"Договор 46, 2010 г.";"46";56
55.008591;36.482915;"Договор 47, 2010 г.";"47";57
55.014091;36.474318;"Договор 48, 2010 г.";"48";58
55.011147;36.470613;"Договор 50, 2010 г.";"50";59
55.011095;36.470832;"Договор 84, 2011 г.";"84";60
55.011124;36.470709;"Договор 295, 2011 г.";"295";61
55.011035;36.470970;"Договор 538, 2012 г.";"538";62
55.011172;36.470970;"Договор 693, 2013 г.";"693";63
55.011307;36.470814;"Договор 702, 2013 г.";"702";64
55.012201;36.458983;"Договор 51, 2010 г.";"51";65
55.012009;36.457640;"Договор 52, 2010 г.";"52";66
55.007195;36.463797;"Договор 53, 2010 г.";"53";67
54.997598;36.444593;"Договор 54, 2010 г.";"54";68
54.997806;36.444267;"Договор 662, 2012 г.";"662";69
55.011146;36.470942;"Договор 55, 2010 г.";"55";70
54.819751;36.319471;"Договор 56, 2010 г.";"56";71
54.810907;36.312767;"Договор 58, 2010 г.";"58";72
54.810814;36.312623;"Договор 141, 2011 г.";"141";73
54.810979;36.312727;"Договор 465, 2012 г.";"465";74
55.012183;36.465820;"Договор 59, 2010 г.";"59";75
54.800326;36.293704;"Договор 60, 2010 г.";"60";76
55.009675;36.469441;"Договор 61, 2010 г.";"61";77
55.009873;36.469278;"Договор 245, 2011 г.";"245";78
55.011099;36.470942;"Договор 62, 2010 г.";"62";79
55.011086;36.470950;"Договор 63, 2010 г.";"63";80
55.011230;36.470677;"Договор 620, 2012 г.";"620";81
55.054663;36.569728;"Договор 64, 2010 г.";"64";82
55.054799;36.569562;"Договор 847, 2013 г.";"847";83
55.011218;36.470728;"Договор 65, 2010 г.";"65";84
55.011196;36.471013;"Договор 87, 2011 г.";"87";85
55.011177;36.470768;"Договор 113, 2011 г.";"113";86
55.011207;36.470748;"Договор 493, 2012 г.";"493";87
55.011189;36.470601;"Договор 542, 2012 г.";"542";88
55.011227;36.470973;"Договор 690, 2013 г.";"690";89
55.012137;36.457438;"Договор 66, 2010 г.";"66";90
55.011280;36.470900;"Договор 67, 2010 г.";"67";91
55.011127;36.470680;"Договор 446, 2012 г.";"446";92
55.011074;36.471001;"Договор 68, 2010 г.";"68";93
55.011312;36.470724;"Договор 69, 2010 г.";"69";94
55.011281;36.470953;"Договор 323, 2011 г.";"323";95
55.000134;36.438697;"Договор 70, 2010 г.";"70";96
54.999905;36.438996;"Договор 72, 2010 г.";"72";97
55.008641;36.420743;"Договор 71, 2010 г.";"71";98
55.008621;36.420717;"Договор 314, 2011 г.";"314";99
55.008634;36.420553;"Договор 594, 2012 г.";"594";100
55.018282;36.487869;"Договор 73, 2010 г.";"73";101
55.018141;36.488027;"Договор 175, 2011 г.";"175";102
55.011164;36.470813;"Договор 74, 2010 г.";"74";103
55.011293;36.470821;"Договор 311, 2011 г.";"311";104
55.011261;36.471004;"Договор 333, 2011 г.";"333";105
55.015331;36.479625;"Договор 75, 2010 г.";"75";106
55.019438;36.413720;"Договор 76, 2011 г.";"76";107
55.054563;36.573133;"Договор 78, 2011 г.";"78";108
54.989598;36.251314;"Договор 79, 2011 г.";"79";109
55.011099;36.470745;"Договор 80, 2011 г.";"80";110
55.011156;36.470670;"Договор 93, 2011 г.";"93";111
54.817504;36.318575;"Договор 81, 2011 г.";"81";112
55.011293;36.471014;"Договор 82, 2011 г.";"82";113
55.011067;36.470770;"Договор 148, 2011 г.";"148";114
55.011298;36.470702;"Договор 149, 2011 г.";"149";115
55.011149;36.470733;"Договор 191, 2011 г.";"191";116
55.011224;36.470649;"Договор 216, 2011 г.";"216";117
55.011133;36.470917;"Договор 284, 2011 г.";"284";118
55.011084;36.470790;"Договор 286, 2011 г.";"286";119
55.011092;36.470879;"Договор 334, 2011 г.";"334";120
55.011099;36.470864;"Договор 644, 2012 г.";"644";121
55.016152;36.481846;"Договор 83, 2011 г.";"83";122
55.011066;36.470948;"Договор 85, 2011 г.";"85";123
55.011085;36.470880;"Договор 145, 2011 г.";"145";124
55.016385;36.481947;"Договор 86, 2011 г.";"86";125
55.016481;36.481986;"Договор 280, 2011 г.";"280";126
55.013446;36.464412;"Договор 88, 2011 г.";"88";127
55.013610;36.464481;"Договор 95, 2011 г.";"95";128
55.013615;36.464500;"Договор 110, 2011 г.";"110";129
55.012191;36.465699;"Договор 89, 2011 г.";"89";130
55.012326;36.465754;"Договор 103, 2011 г.";"103";131
55.012394;36.465891;"Договор 154, 2011 г.";"154";132
55.011308;36.471015;"Договор 90, 2011 г.";"90";133
55.011153;36.470798;"Договор 863, 2013 г.";"863";134
55.011199;36.470605;"Договор 91, 2011 г.";"91";135
55.011197;36.470727;"Договор 304, 2011 г.";"304";136
54.988056;36.247932;"Договор 92, 2011 г.";"92";137
55.006451;36.463363;"Договор 94, 2011 г.";"94";138
55.006344;36.463402;"Договор 98, 2011 г.";"98";139
55.007350;36.463851;"Договор 96, 2011 г.";"96";140
55.000893;36.470702;"Договор 97, 2011 г.";"97";141
54.999042;36.442074;"Договор 99, 2011 г.";"99";142
55.012564;36.459884;"Договор 100, 2011 г.";"100";143
54.871029;36.569637;"Договор 101, 2011 г.";"101";144
55.011237;36.470595;"Договор 102, 2011 г.";"102";145
55.011050;36.470861;"Договор 104, 2011 г.";"104";146
55.011271;36.470939;"Договор 105, 2011 г.";"105";147
55.011154;36.470930;"Договор 162, 2011 г.";"162";148
55.011043;36.470926;"Договор 265, 2011 г.";"265";149
55.011127;36.470762;"Договор 368, 2011 г.";"368";150
55.011042;36.470775;"Договор 427, 2012 г.";"427";151
55.011024;36.470980;"Договор 809, 2013 г.";"809";152
55.011115;36.470624;"Договор 880, 2013 г.";"880";153
55.011053;36.470674;"Договор 2227, 2022 г.";"2227";154
55.007409;36.461873;"Договор 107, 2011 г.";"107";155
55.009640;36.469446;"Договор 108, 2011 г.";"108";156
55.011200;36.470931;"Договор 109, 2011 г.";"109";157
55.011024;36.470886;"Договор 118, 2011 г.";"118";158
55.011280;36.470818;"Договор 143, 2011 г.";"143";159
55.011044;36.470900;"Договор 294, 2011 г.";"294";160
55.011315;36.470949;"Договор 322, 2011 г.";"322";161
55.011186;36.470645;"Договор 330, 2011 г.";"330";162
55.011137;36.470777;"Договор 498, 2012 г.";"498";163
55.011110;36.470766;"Договор 112, 2011 г.";"112";164
55.011802;36.457211;"Договор 114, 2011 г.";"114";165
55.009851;36.469247;"Договор 115, 2011 г.";"115";166
55.009707;36.469578;"Договор 289, 2011 г.";"289";167
55.009665;36.469596;"Договор 303, 2011 г.";"303";168
55.009775;36.469519;"Договор 308, 2011 г.";"308";169
55.011082;36.470810;"Договор 116, 2011 г.";"116";170
55.002949;36.468008;"Договор 117, 2011 г.";"117";171
54.993585;36.467481;"Договор 119, 2011 г.";"119";172
55.011049;36.470987;"Договор 120, 2011 г.";"120";173
54.994211;36.455771;"Договор 122, 2011 г.";"122";174
54.994266;36.455472;"Договор 432, 2012 г.";"432";175
54.994328;36.455513;"Договор 481, 2012 г.";"481";176
54.994228;36.455479;"Договор 715, 2013 г.";"715";177
54.871126;36.569779;"Договор 124, 2011 г.";"124";178
55.016608;36.482066;"Договор 125, 2011 г.";"125";179
55.011785;36.457110;"Договор 126, 2011 г.";"126";180
55.012863;36.458517;"Договор 651, 2012 г.";"651";181
55.011080;36.471034;"Договор 127, 2011 г.";"127";182
55.011115;36.470770;"Договор 507, 2012 г.";"507";183
55.000864;36.470852;"Договор 128, 2011 г.";"128";184
55.000884;36.470573;"Договор 253, 2011 г.";"253";185
54.989769;36.251343;"Договор 129, 2011 г.";"129";186
55.009703;36.469194;"Договор 130, 2011 г.";"130";187
55.012753;36.474734;"Договор 132, 2011 г.";"132";188
55.012775;36.474924;"Договор 134, 2011 г.";"134";189
55.011201;36.470709;"Договор 133, 2011 г.";"133";190
55.000045;36.424695;"Договор 135, 2011 г.";"135";191
55.052513;36.562155;"Договор 136, 2011 г.";"136";192
55.052575;36.561987;"Договор 153, 2011 г.";"153";193
55.052562;36.561803;"Договор 534, 2017 г.";"534";194
54.997475;36.446813;"Договор 137, 2011 г.";"137";195
